target,representation,model,n,Q2,RMSE,MAPE
T5,family mean,-,39,0.7056582576626484,13.97123433493798,4.011973389354816
T5,PI,PLS,39,-0.31717325628820237,29.554954899998105,7.669385178601254
T5,PI,ridge,39,0.0659316365682645,24.888468899124373,6.218547259738843
T5,TFI,PLS,39,0.7030920887641239,14.032005094019386,4.153672981009904
T5,TFI,ridge,39,0.7732663156022153,12.262156975167308,3.389770035390295
T5,raw spectra,PLS,39,0.29910551156624254,21.559325587991676,5.811693927183738
T5,raw spectra,ridge,39,0.5808926841809781,16.67137689090927,4.280579558434897
T10,family mean,-,39,0.6203361622073909,18.533628816248832,4.374057389541709
T10,PI,PLS,39,-0.39436311277487746,35.51802321663343,7.391110254000018
T10,PI,ridge,39,-0.17528973570505157,32.60868727689431,7.2354245451516555
T10,TFI,PLS,39,0.7057724482084264,16.315579856168156,3.3630446502768385
T10,TFI,ridge,39,0.7092273094344883,16.219507083598074,2.8435869301374086
T10,raw spectra,PLS,39,0.526708977273131,20.693072419682103,4.4571395532704035
T10,raw spectra,ridge,39,0.7283476028945709,15.677168095859232,2.862392582101113
T50,family mean,-,39,0.7976452920756432,18.724047565993523,3.4945784545194662
T50,PI,PLS,39,0.038746697205478076,40.809568400648885,7.509515535201149
T50,PI,ridge,39,0.006552404906245868,41.487337142540234,7.507858868254558
T50,TFI,PLS,39,0.37278867736868093,32.964768038197576,5.616006999177758
T50,TFI,ridge,39,0.45623006250955256,30.693801214019288,5.020088646418972
T50,raw spectra,PLS,39,0.5948332353766527,26.49475976156186,5.1099259857257415
T50,raw spectra,ridge,39,0.5557259788327154,27.743965680486685,4.107635557658031
T_dtg_peak,family mean,-,39,0.6241099134919688,34.0936291927502,6.038554349335764
T_dtg_peak,PI,PLS,39,0.09166930624748915,52.99864817560342,10.369942320319208
T_dtg_peak,PI,ridge,39,0.1281536176044269,51.923359290312824,10.650648607345442
T_dtg_peak,TFI,PLS,39,0.27283297181889576,47.41981841787179,9.287203348302473
T_dtg_peak,TFI,ridge,39,0.3228984980823717,45.75827941644692,8.818360097766078
T_dtg_peak,raw spectra,PLS,39,0.3511928561273373,44.79201593019612,9.098130740290419
T_dtg_peak,raw spectra,ridge,39,0.27804611451523076,47.2495336495647,8.993034763053465
residue,family mean,-,39,0.7052147960468795,2.5720251327260355,59.413428820826574
residue,PI,PLS,39,-0.3156095224669364,5.433577570327516,102.06545128692233
residue,PI,ridge,39,-0.3658979650956864,5.536451456060058,152.15467093140757
residue,TFI,PLS,39,0.5069183117329319,3.3264561624241784,85.24591726627315
residue,TFI,ridge,39,0.4940833831843775,3.369471903623751,85.82330606581323
residue,raw spectra,PLS,39,0.8688502437213539,1.7155607884374355,25.48624460330925
residue,raw spectra,ridge,39,0.8765685317071551,1.664314185944709,23.001901989578414
